[00:04.64 - 00:20.52]  SPEAKER_00 : Allez-yÇa veut
[00:20.52 - 00:34.88]  SPEAKER_02 : dire qu’on doit faire du coup un reporting là sur un retour d’expérience sur événement mais est-ce qu’on est censé juste parler de ces thématiques-là ou est-ce que, oui en fait c’est?,
[00:30.52 - 00:40.16]  SPEAKER_04 : çaOui je pense de ce que j’ai compris en fait c’est que chacun comment dire prend
[00:40.16 - 00:40.68]  SPEAKER_06 : la parole
[00:40.68 - 00:48.64]  SPEAKER_04 : pour donner sa propreexpérience sonressenti au niveau des gafemmes des réseaux sociaux et du numérique quoi
[00:48.64 - 00:49.60]  SPEAKER_07 : sonutilisation
[00:49.60 - 00:54.68]  SPEAKER_04 : personnelle et moi c’est ce que j’ai, compris je ne sais pas si vous avez compris comme.,
[00:54.16 - 01:25.76]  SPEAKER_02 : moiOui, oui mais je pense que si on n’a pas de support c’est que de toute façoneffectivement c’est par rapport à nosexpériences. personnelles Je peux commencer si vous. voulez. Allez Alors pour tout ce qui est réseaux sociaux doncGafam c’est drôle parce que je connaissais pas une sorte d’acronyme où on met les quatre à la suite les cinq à la. suite Moi j’ai uneexpérience des réseaux sociaux assez limitée je dirais j’utiliseGoogle bien, sûr, j’aiFacebook j’utilise
[01:25.76 - 01:26.24]  SPEAKER_13 : régulièrement
[01:26.24 - 01:29.16]  SPEAKER_02 : Amazon même si j’essaie un maximum d’éviter par
[01:29.16 - 01:33.72]  SPEAKER_14 : rapport à leur
[01:33.72 - 02:30.48]  SPEAKER_02 : politique d’emploi et puis aussi les conditions de travail de leuremployé donc onessaie de limiter un petit peu sur Amazon même si c’est vrai que c’est relativement pratique au niveau achat en ligne c’est vrai que surtout moi qui lis beaucoup enanglais j’habite surEx donc il y a une grosselibrairieanglophone mais c’est vrai que souvent c’est beaucoup plus simple et moins cher aussi d’aller sur Amazon donc c’est vrai qu’ils nous tiennent un petit peu avec ça et après au niveau des réseaux sociaux comme je disais j’enai uneutilisation assez., limitéeJ’aiFacebookInstagram et Twitter Twitter est plutôt du côté professionnelFacebook c’est plutôt l’utilisation de perso etInstagram j’enaiutilisation assez peu fréquente c’est vrai parce que j’ai pas forcément le réflexe de prendre. desphotos C’est juste pas un réflexe que j’ai c’est peut-être une question de, génération je sais. pas Mais voilà donc c’est monutilisation et mon retour.
[02:29.60 - 02:38.56]  SPEAKER_17 : là-dessus. Pardon
[02:38.56 - 02:41.36]  SPEAKER_02 : Alors le numérique tout,
[02:39.64 - 02:41.64]  SPEAKER_15 : court alors
[02:41.64 - 02:43.80]  SPEAKER_02 : là par contre c’est vrai que c’est un peu plus je suis un petit
[02:43.80 - 02:47.80]  SPEAKER_18 : peu plus porté
[02:47.80 - 03:04.20]  SPEAKER_02 : sur le numérique surtout par rapport à mon boulot parce que je travaille en thèse et c’est vrai que ça m’a fait gagner beaucoup de temps d’êtreessentiellement sur du support numérique par exemple puisque je travaille en littérature donc j’aiessentiellement travaillé sur des livres numériques en fait ce qui fait gagner énormément de temps puisque la navigation est beaucoup plus
[03:04.20 - 03:05.44]  SPEAKER_19 : rapide avec
[03:05.44 - 03:07.16]  SPEAKER_02 : par exemple
