[00:04.64 - 00:20.52]  SPEAKER_03 : Allez-yÇa veut
[00:20.52 - 00:34.88]  SPEAKER_00 : dire qu’on doit faire du coup un reporting là sur un retour d’expérience sur événement mais est-ce qu’on est censé juste parler de ces thématiques-là ou est-ce que, oui en fait c’est?,
[00:30.52 - 00:54.68]  SPEAKER_02 : çaOui je pense de ce que j’ai compris en fait c’est que chacun comment dire prend la parole pour donner sa propreexpérience sonressenti au niveau des gafemmes des réseaux sociaux et du numérique quoi sonutilisation personnelle et moi c’est ce que j’ai, compris je ne sais pas si vous avez compris comme.,
[00:54.16 - 03:38.96]  SPEAKER_00 : moiOui, oui mais je pense que si on n’a pas de support c’est que de toute façoneffectivement c’est par rapport à nosexpériences. personnelles Je peux commencer si vous. voulez. Allez Alors pour tout ce qui est réseaux sociaux doncGafam c’est drôle parce que je connaissais pas une sorte d’acronyme où on met les quatre à la suite les cinq à la. suite Moi j’ai uneexpérience des réseaux sociaux assez limitée je dirais j’utiliseGoogle bien, sûr, j’aiFacebook j’utilise régulièrement Amazon même si j’essaie un maximum d’éviter par rapport à leur politique d’emploi et puis aussi les conditions de travail de leuremployé donc onessaie de limiter un petit peu sur Amazon même si c’est vrai que c’est relativement pratique au niveau achat en ligne c’est vrai que surtout moi qui lis beaucoup enanglais j’habite surEx donc il y a une grosselibrairieanglophone mais c’est vrai que souvent c’est beaucoup plus simple et moins cher aussi d’aller sur Amazon donc c’est vrai qu’ils nous tiennent un petit peu avec ça et après au niveau des réseaux sociaux comme je disais j’enai uneutilisation assez., limitéeJ’aiFacebookInstagram et Twitter Twitter est plutôt du côté professionnelFacebook c’est plutôt l’utilisation de perso etInstagram j’enaiutilisation assez peu fréquente c’est vrai parce que j’ai pas forcément le réflexe de prendre. desphotos C’est juste pas un réflexe que j’ai c’est peut-être une question de, génération je sais. pas Mais voilà donc c’est monutilisation et mon retour. là-dessus. Pardon Alors le numérique tout, court alors là par contre c’est vrai que c’est un peu plus je suis un petit peu plus porté sur le numérique surtout par rapport à mon boulot parce que je travaille en thèse et c’est vrai que ça m’a fait gagner beaucoup de temps d’êtreessentiellement sur du support numérique par exemple puisque je travaille en littérature donc j’aiessentiellement travaillé sur des livres numériques en fait ce qui fait gagner énormément de temps puisque la navigation est beaucoup plus rapide avec par exemple des choses qui prenaient des, mois voire desannées à certains chercheurs pouridentifier certaines choses dans des livres, papier ça prend quelques secondes avec une fonction de recherche par. exemple Donc c’est vrai que dans mon, domaine j’ai beaucoup beaucoup recours numérique et on voit qu’il y a une évolution un peu lente parfois parce que les professeurs sont plusâgés que moi souvent et ilsont uneutilisation un peu plus fragile un peu plus timide du numérique dans nos. domaines Tu peux.
[03:36.84 - 03:53.68]  SPEAKER_01 : commencer. Personne
[03:53.68 - 04:07.92]  SPEAKER_00 : AlorsOben, source.. c’estOuiExactement. oui Je pense qu’il peut dire ce qu’on pense des.
[04:07.12 - 04:14.80]  SPEAKER_01 : gâtams..
[04:08.32 - 04:56.56]  SPEAKER_00 : L’accessibilitéOuiVoilà c’est ce que j’allais dire., ouiOui c’est vrai Apple est totalement bloqué par. exemple C’était la politique de SteveJups à la base quand ilsont créé, l’entreprise c’est qu’ils voulaient que personne n’y en fait? comment Ah oui, oui c’est vrai que tout leur système est bloqué et leuriPhone au final c’est très peu personnalisable quand on regarde lestéléphones ou les mois je suis sur Mac par exemple et c’est vrai que c’est plus fluide mais par contre je peux rien toucher au niveau ou presque au niveau, fonctionnalité. etc Tout à.
[04:56.08 - 05:09.44]  SPEAKER_03 : faitEh, oui c’est plus.,
[05:08.04 - 06:21.36]  SPEAKER_00 : simpleOui tout à. fait Et après c’est vrai que tumentionnais l’open, source c’est vrai qu’avec Marseille à l’université onaime beaucoup sur l’open source en ce moment parce que c’est pas la politique de tout le monde en fait par rapport au rapport qu’on a à la recherche du fait de tout mettre enopen source pour que la recherche soitaccessible alors qu’il y a beaucoup d’universités dans le monde qui en fait ferment et rendent leurs recherche payante et quelque part oui, oui je t’en.. prévasieOui Tout à. fait Et c’est vrai que c’est délicat comme sujet parce qu’on en parle de plus en plus que bon la connaissance doit êtreaccessible à tout le monde et en même temps c’est vrai qu’on est moi pour l’instant monambition c’est d’être enseignant chercheur et quand tu regardes en fait on est rémunéré pour le côté enseignant et pour le côté chercheur pas vraiment en. faitExactement et c’est drôle en fait de tout mettre enopenExcels alors qu’en plus ce sont des choses qu’onécrit qui prennent du temps et qu’on publie alors que les gens qui publient dans le domaine privé ils sont payés en. fait Et leurécrit est. payant Donc c’est vrai que c’est délicat comme sujet en ce.
[06:21.16 - 06:33.36]  SPEAKER_02 : moment Mais c’est. paradoxalète Et.
